City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,chui,-33.6971,-53.4616,23.35,62,7,5.36,UY,1702313421
1,idri,27.5,13.2667,16.64,35,0,3.77,LY,1702313421
2,new norfolk,-42.7826,147.0587,10.95,98,85,0.93,AU,1702313421
3,smithers,54.7804,-127.1743,-3.82,93,100,1.54,CA,1702313421
4,iqaluit,63.7506,-68.5145,-17.15,78,75,9.77,CA,1702313422
5,kavieng,-2.5744,150.7967,27.51,82,97,2.82,PG,1702313422
6,longyearbyen,78.2186,15.6401,-5.09,68,75,8.75,SJ,1702313422
7,agaete,28.1002,-15.7,23.56,55,96,1.27,ES,1702313422
8,albany,42.6001,-73.9662,3.92,82,92,4.02,US,1702313378
9,obo,5.3998,26.4869,27.17,44,68,1.33,CF,1702313423
10,edinburgh of the seven seas,-37.0676,-12.3116,13.1,85,100,9.24,SH,1702313423
11,coos bay,43.3665,-124.2179,12.41,100,100,4.63,US,1702313423
12,cascais,38.6979,-9.4215,18.62,92,75,6.26,PT,1702313180
13,yellowknife,62.456,-114.3525,-21.71,84,20,4.63,CA,1702313424
14,papatowai,-46.5619,169.4708,7.69,79,36,7.98,NZ,1702313424
15,bethel,41.3712,-73.414,6.43,85,100,3.6,US,1702313424
16,jamestown,42.097,-79.2353,1.77,95,100,7.72,US,1702313424
17,banda aceh,5.5577,95.3222,26.1,86,93,1.88,ID,1702313425
18,new ulm,44.3125,-94.4605,-3.73,93,40,4.12,US,1702313425
19,kodiak,57.79,-152.4072,0.73,69,75,5.66,US,1702313425
20,adamstown,-25.066,-130.1015,21.34,60,4,2.22,PN,1702313426
21,kencong,-8.2833,113.3667,25.05,82,83,1.55,ID,1702313426
22,san vicente de canete,-13.0751,-76.3835,23.57,68,25,4.1,PE,1702313426
23,grytviken,-54.2811,-36.5092,4.81,87,97,5.29,GS,1702313426
24,yelanskiy,56.8419,62.5014,-35.42,100,8,0.6,RU,1702313426
25,lebu,-37.6167,-73.65,15.59,71,80,3.41,CL,1702313299
26,rongelap,11.1635,166.8941,27.6,78,38,8.31,MH,1702313427
27,avarua,-21.2078,-159.775,25.03,88,100,11.32,CK,1702313427
28,olinda,-8.0089,-34.8553,29.85,66,40,3.6,BR,1702313427
29,happy valley-goose bay,53.3168,-60.3315,3.17,81,100,0.0,CA,1702313272
30,fale old settlement,-9.3852,-171.2468,28.08,82,100,11.19,TK,1702313427
31,markala,13.7021,-6.0659,32.68,8,0,3.27,ML,1702313427
32,la romana,18.4273,-68.9728,29.2,70,20,5.14,DO,1702313239
33,alice springs,-23.7,133.8833,12.75,62,0,1.54,AU,1702313428
34,verkh-chebula,56.0308,87.6218,-33.44,100,53,2.38,RU,1702313428
35,san miguel,13.4833,-88.1833,31.78,51,0,4.12,SV,1702313245
36,bikenibeu village,1.3673,173.1241,26.98,94,40,1.03,KI,1702313428
37,puerto ayora,-0.7393,-90.3518,28.98,77,49,3.89,EC,1702313428
38,ushuaia,-54.8,-68.3,11.81,40,0,4.63,AR,1702313224
39,port-aux-francais,-49.35,70.2167,5.01,91,65,8.25,TF,1702313397
40,olonkinbyen,70.9221,-8.7187,0.0,94,100,7.36,SJ,1702313429
41,tendukheda,23.4,79.55,17.22,58,1,0.24,IN,1702313429
42,qaqortoq,60.7167,-46.0333,-2.12,93,100,8.31,GL,1702313429
43,puerto natales,-51.7236,-72.4875,12.25,43,75,7.2,CL,1702313429
44,vorgashor,67.5833,63.95,-21.82,95,100,4.55,RU,1702313429
45,seymour,38.9592,-85.8903,2.64,73,44,0.89,US,1702313284
46,alaghsas,17.0187,8.0168,24.94,20,0,9.77,NE,1702313430
47,hadibu,12.65,54.0333,25.06,65,9,5.16,YE,1702313430
48,christchurch,-43.5333,172.6333,10.51,72,74,1.03,NZ,1702313210
49,blackmans bay,-43.0167,147.3167,10.29,92,65,1.57,AU,1702313430
50,waitangi,-43.9535,-176.5597,13.79,87,99,1.34,NZ,1702313430
51,betio village,1.358,172.9211,27.02,74,93,1.69,KI,1702313431
52,afaahiti,-17.75,-149.2833,24.93,80,72,10.02,PF,1702313431
53,weno,7.4515,151.8468,28.24,76,100,7.04,FM,1702313431
54,susuman,62.7833,148.1667,-21.68,96,100,2.24,RU,1702313431
55,christiana,-27.914,25.1611,18.55,65,56,7.84,ZA,1702313431
56,ribeira grande,38.5167,-28.7,17.65,67,40,5.14,PT,1702313432
57,hermanus,-34.4187,19.2345,18.9,70,0,2.79,ZA,1702313432
58,taunggyi,20.7833,97.0333,14.36,95,9,0.71,MM,1702313432
59,ouadda,8.0777,22.4007,25.83,26,99,2.12,CF,1702313432
60,sao miguel do araguaia,-13.275,-50.1628,32.96,41,94,3.47,BR,1702313432
61,magadan,59.5667,150.8,-6.83,95,100,4.75,RU,1702313433
62,bel ombre,-4.6167,55.4167,27.91,83,40,0.51,SC,1702313433
63,nemuro,43.3236,145.575,1.36,55,96,1.53,JP,1702313433
64,chibougamau,49.9168,-74.3659,-7.21,86,100,4.12,CA,1702313433
65,chiang mai,18.75,99.0,25.04,83,20,1.03,TH,1702313433
66,chapaev,50.2,51.1667,-14.21,60,15,8.07,KZ,1702313433
67,garissa,-0.4536,39.6401,31.24,48,99,3.71,KE,1702313433
68,udachny,66.4167,112.4,-25.15,96,100,4.72,RU,1702313434
69,manta,-0.95,-80.7333,26.88,83,100,2.06,EC,1702313177
70,kruisfontein,-34.0033,24.7314,19.55,64,0,2.13,ZA,1702313434
71,nabire,-3.3667,135.4833,24.68,94,99,1.07,ID,1702313434
72,la sarre,48.8002,-79.1996,-10.45,77,97,3.68,CA,1702313424
73,saudarkrokur,65.7461,-19.6394,-3.17,91,100,4.29,IS,1702313434
74,malpe,13.35,74.7167,27.61,84,57,0.62,IN,1702313435
75,klyuchi,52.2667,79.1667,-23.3,84,86,5.81,RU,1702313435
76,wuchang,44.9143,127.15,-19.01,88,100,2.19,CN,1702313435
77,west island,-12.1568,96.8225,25.99,73,7,3.09,CC,1702313435
78,port alfred,-33.5906,26.891,21.21,85,10,0.89,ZA,1702313435
79,marolambo,-20.05,48.1167,23.26,92,67,0.85,MG,1702313435
80,riachao do jacuipe,-11.8069,-39.3856,36.98,20,62,4.15,BR,1702313436
81,kyzyl,51.7,94.45,-33.32,99,83,0.45,RU,1702313436
82,stanley,54.868,-1.6985,4.33,93,20,3.09,GB,1702313436
83,veinticinco de mayo,-35.4323,-60.1727,29.99,39,51,3.13,AR,1702313436
84,east london,-33.0153,27.9116,22.52,78,20,6.17,ZA,1702313436
85,odda,60.0691,6.5457,1.54,84,55,3.01,NO,1702313436
86,sisimiut,66.9395,-53.6735,0.03,76,100,15.68,GL,1702313436
87,orchard homes,46.8633,-114.0484,2.0,92,100,0.0,US,1702313436
88,mogocha,53.7333,119.7667,-34.45,97,6,1.4,RU,1702313437
89,isafjordur,66.0755,-23.124,-1.98,69,100,3.6,IS,1702313437
90,letterkenny,54.95,-7.7333,7.96,95,99,3.89,IE,1702313437
91,libreville,0.3925,9.4537,29.01,79,40,5.14,GA,1702313437
92,kapuskasing,49.4169,-82.4331,-10.95,79,100,4.12,CA,1702313388
93,colonia,50.9333,6.95,10.32,87,75,4.12,DE,1702313143
94,tolanaro,-25.0319,46.9987,27.04,89,20,7.2,MG,1702313437
95,kill devil hills,36.0307,-75.676,8.0,74,40,5.14,US,1702313379
96,ilulissat,69.2167,-51.1,1.01,80,75,2.57,GL,1702313438
97,bezhetsk,57.7851,36.6965,-6.5,92,100,6.94,RU,1702313438
98,port douglas,-16.4833,145.4667,26.51,74,97,2.0,AU,1702313438
99,hawaiian paradise park,19.5933,-154.9731,22.24,98,100,2.57,US,1702313179
100,moranbah,-22.0016,148.0466,22.61,86,99,9.63,AU,1702313438
101,carnarvon,-24.8667,113.6333,24.33,62,0,4.47,AU,1702313438
102,port augusta,-32.5,137.7667,19.3,58,26,2.01,AU,1702313438
103,whitehorse,60.7161,-135.0538,-3.57,80,75,9.77,CA,1702313269
104,tazovsky,67.4667,78.7,-26.0,96,100,3.81,RU,1702313439
105,utrik,11.2278,169.8474,27.14,78,48,9.23,MH,1702313439
106,kurumkan,54.3,110.3,-26.6,90,19,1.79,RU,1702313439
107,paita,-5.0892,-81.1144,24.61,68,8,5.54,PE,1702313439
108,rebola,3.7167,8.8333,25.62,89,20,2.06,GQ,1702313439
109,georgetown,5.4112,100.3354,26.08,94,20,1.54,MY,1702313164
110,broken hill,-31.95,141.4333,23.85,44,93,2.96,AU,1702313439
111,damara,4.9608,18.7035,26.36,38,92,1.2,CF,1702313440
112,margaret river,-33.95,115.0667,15.57,67,0,3.29,AU,1702313440
113,ma'rib,15.4591,45.3253,18.06,22,1,2.12,YE,1702313440
114,taoudenni,22.6783,-3.9836,26.25,12,28,4.35,ML,1702313440
115,bandarbeyla,9.4942,50.8122,25.64,74,72,9.45,SO,1702313440
116,pacasmayo,-7.4006,-79.5714,22.87,71,5,6.19,PE,1702313440
117,warrensburg,38.7628,-93.7361,5.01,53,0,4.63,US,1702313221
118,geiro,-6.15,36.8667,18.75,96,97,2.15,TZ,1702313441
119,punta arenas,-53.15,-70.9167,11.06,40,75,7.2,CL,1702313179
120,nadym,65.5333,72.5167,-25.91,88,100,5.82,RU,1702313441
121,saint-philippe,-21.3585,55.7679,25.77,78,61,4.07,RE,1702313441
122,namibe,-15.1961,12.1522,22.77,70,70,5.24,AO,1702313441
123,keflavik,64.0049,-22.5624,2.24,75,75,4.63,IS,1702313442
124,cono norte,-16.3166,-71.5829,22.03,23,20,4.63,PE,1702313442
125,lihue,21.9789,-159.3672,24.09,88,100,5.14,US,1702313442
126,murun-kuren,49.6342,100.1625,-22.39,95,35,0.51,MN,1702313442
127,labrador city,52.9463,-66.9114,-5.05,86,100,3.09,CA,1702313442
128,chonchi,-42.6128,-73.8092,14.56,96,100,1.41,CL,1702313442
129,canton,23.1167,113.25,25.49,62,61,0.91,CN,1702313273
130,ixtapa,20.7,-105.2,24.57,69,0,2.06,MX,1702313442
131,sao gabriel da cachoeira,-0.1303,-67.0892,32.89,66,75,1.54,BR,1702313443
132,farasan,16.7022,42.1183,27.5,69,31,2.85,SA,1702313443
133,sitka,57.0531,-135.33,5.94,75,100,8.23,US,1702313443
134,remire-montjoly,4.9167,-52.2667,32.02,58,75,6.17,GF,1702313443
135,pandan,14.0453,124.1694,26.8,85,39,5.01,PH,1702313443
136,nyala,12.05,24.8833,28.08,15,59,3.54,SD,1702313443
137,bathsheba,13.2167,-59.5167,29.34,74,75,7.72,BB,1702313443
138,arteche,12.2645,125.4048,25.79,89,97,3.14,PH,1702313444
139,vilyuchinsk,52.9306,158.4028,-5.85,82,14,4.46,RU,1702313444
140,atafu village,-8.5421,-172.5159,27.82,83,100,11.72,TK,1702313444
141,jerada,34.31,-2.16,18.68,33,71,1.29,MA,1702313444
142,talnakh,69.4865,88.3972,-24.89,97,100,4.47,RU,1702313380
143,bilibino,68.0546,166.4372,-18.89,94,100,1.48,RU,1702313444
144,northam,51.0333,-4.2167,10.7,94,38,5.3,GB,1702313444
